#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 2025-05-09 16:00:38.440
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Math 1: Function: (abs(C1) - C2)/5*100

#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 50 Hz
#Period: 20 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 бу
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 бу

Time (s)	Channel 1 (V)	Channel 2 (V)	Math 1 (V)
-0.02295208333333333	-4.090175447185174	4.111250634892385	-0.4215037541442257
-0.02294583333333333	-4.083125496254024	4.100639698012581	-0.3502840351711498
-0.02293958333333333	-4.076075545322881	4.097102719052649	-0.4205434745953696
-0.02293333333333333	-4.069025594391734	4.09002876113278	-0.4200633348209237
-0.02292708333333333	-4.069025594391734	4.086491782172846	-0.3493237556222439
-0.02292083333333333	-4.061975643460587	4.079417824252977	-0.3488436158477981
-0.02291458333333333	-4.054925692529438	4.072343866333106	-0.3483634760733521
-0.02290833333333333	-4.047875741598295	4.065269908413241	-0.3478833362989242
-0.02290208333333333	-4.037300815201575	4.058195950493372	-0.417902705835953
-0.02289583333333333	-4.033775839736002	4.04758501361357	-0.2761834775513705
-0.02288958333333333	-4.030250864270428	4.04758501361357	-0.3466829868628452
-0.02288333333333333	-4.02320091333928	4.040511055693698	-0.3462028470883671
-0.02287708333333333	-4.019675937873709	4.033437097773834	-0.2752231980024966
-0.02287083333333333	-4.009101011476989	4.026363139853965	-0.3452425675395077
-0.02286458333333333	-4.002051060545843	4.022826160894031	-0.4155020069637594
-0.02285833333333333	-3.998526085080269	4.015752202974163	-0.3445223578778744
-0.02285208333333333	-3.991476134149121	4.012215224014224	-0.4147817973020617
