#Digilent WaveForms Impedance Analyzer
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 5e+06 Hz
#Steps: 101
#Resistor: 1000 ¦¸
#Average: 1
#ProbeResistance: 1.041e+06 ¦¸
#ProbeCapacitance: 4.5e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 2 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.48591 V
#Offset: -0.000257542 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.5047 V
#Offset: -0.000259064 V
#Attenuation: 1 X

Frequency (Hz)	Trace < (deg)	Trace th (deg)	Trace Vin (V)	Trace Vout (V)	Trace Vout/Vin (V)
100	1.249102504995188	1.246626283691547	1.912166244700671	1.389138253671103	0.7264735780797958
111.4268106709143	1.187490049997952	1.184730875574566	1.938682000389176	1.401354211160467	0.7228386145222143
124.1593413629177	1.077085229971632	1.07401076991138	1.955811355622716	1.413388446509752	0.7226609266003264
138.3467942307124	0.9824657291375466	0.9790399563478513	1.970058794416098	1.419316600273644	0.720443777767715
154.1554204767356	0.8912195656255764	0.8874023362662858	1.981898313804197	1.427028812260906	0.7200312964199284
171.7704685135639	0.8083708302152707	0.8041174132857397	1.991565282336854	1.432379547955064	0.7192229954291757
191.3983547391513	0.7257444972872266	0.7210050504602169	1.99970648652589	1.443493695917453	0.7218527847180456
213.269082362439	0.6555056146805426	0.650224600240672	2.006262299098459	1.449483439089675	0.7224795280961117
237.6389366235905	0.59781922872944	0.5919347627720476	2.011712905367359	1.445300791287993	0.718442868975912
264.7934879919427	0.5339044043159373	0.5273475315801691	2.016134925676649	1.456174683711654	0.7222605318554942
295.050938533692	0.4801905973225479	0.4728844831610359	2.019781801262854	1.459419820546553	0.7225631103488811
328.7658506626926	0.4368272042121912	0.4286862342287027	2.02280970918757	1.454881900889724	0.7192381439943031
366.3333019685392	0.3923483103208915	0.383277087125362	2.025298211734333	1.456399608274763	0.7191037842410368
408.1935148089927	0.3539298419682625	0.3438220672930473	2.027257256145871	1.456708607783131	0.7185612991972016
454.8370149171666	0.3179306372211164	0.3066678662989493	2.028807362478143	1.458498138547066	0.7188943442937544
506.8103794729898	0.2866143388195251	0.2740645924268353	2.030582864561632	1.460743575762313	0.719371566290481
