#Digilent WaveForms Impedance Analyzer - Custom1
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 5e+06 Hz
#Steps: 101
#Resistor: 1000 ¦¸
#Average: 1
#ProbeResistance: 1.041e+06 ¦¸
#ProbeCapacitance: 4.5e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.48591 V
#Offset: -0.000257542 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.5047 V
#Offset: -0.000259064 V
#Attenuation: 1 X
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ¡ã

Frequency (Hz)	Trace Vout (V)
100	1.074110786078881
111.4268106709143	1.079135085710163
124.1593413629177	1.08073397665651
138.3467942307124	1.078580037247766
154.1554204767356	1.070013487620345
171.7704685135639	1.067775262110195
191.3983547391513	1.05330638234063
213.269082362439	1.038743376365602
237.6389366235905	1.018942470501367
264.7934879919427	0.9964459245351064
295.050938533692	0.9693420595116475
328.7658506626926	0.9382057094602694
366.3333019685392	0.9042768544289062
408.1935148089927	0.8656653737305379
454.8370149171666	0.8241365666110972
506.8103794729898	0.7786595595753645
564.7226419959104	0.7328249293379071
629.2524291125679	0.6850695150646298
701.1559128293893	0.6374947166959171
781.2756714963242	0.58877565318888
870.550563296124	0.5443630498017681
970.0267279585497	0.4998006338113792
1080.869845619638	0.4563566711151226
1204.378796477597	0.4153476988491873
1342.000881311729	0.377783807387609
1495.348781221221	0.3437275058472603
1666.219455321193	0.3113857701228196
1856.615197842686	0.2813137754763975
2068.767101387591	0.2536636842280551
2305.161201285311	0.2284439845480002
2568.567607415556	0.2058741879412588
2862.072964869367	0.1859058691405532
3189.116623828411	0.1674554399590781
3553.530942507937	0.1500145499529298
3959.586195440673	0.1348028475933871
4412.040613345332	0.1217726739021144
4916.196140956152	0.1089198029837946
5477.960566194004	0.09820206239860356
6103.916748720334	0.08844431853828105
6801.399759106832	0.0791968806626261
7578.582832551996	0.07147343997827225
8444.573144366113	0.06420015942418987
9409.5185295397	0.05774146464576718
10484.7263969548	0.05201671534944549
11682.79623169819	0.04658766077016859
13017.76723816306	0.04204590448963631
14505.28285404826	0.03790635602352441
16162.77406306094	0.03418767230356873
18009.66365441455	0.03072879983818947
20067.59382267297	0.02782732624015363
22360.6797749979	0.02514978770246844
24915.79231761632	0.02264948221152625
27762.87273290857	0.0206118913995293
30935.2836369049	0.01883703745555362
34470.19992860434	0.01715319567223667
38409.04441233158	0.0155827326333957
42797.97319783613	0.01435831482947958
47688.41656614144	0.01329848758723291
53137.68163911133	0.01241854881712144
59209.62391492575	0.01158530167957959
65975.39553864471	0.01071039476260952
73514.27907623244	0.01016012366553968
81914.6165623611	0.009577952005994534
91274.84470874748	0.008996609837211598
101704.6484037871	0.008672148175264998
113326.2460204069	0.008464006723751229
126275.8215936133	0.007997288985631091
140705.120650257	0.00780945257282115
156783.2283912434	0.007537636168435667
174698.5510632577	0.007406019005861652
194661.0237380866	0.007379409509236378
216904.5703707013	0.007276148284485573
241689.8449635213	0.007100070107670807
269307.2859583292	0.006864375255307005
300080.5196477651	0.006970793813488096
334370.1524882111	0.006971637180062046
372577.9967530864	0.006838533391384193
415151.7790435466	0.006667507718658671
462590.3868317851	0.006645614173459336
515449.7145169031	0.006608181159848233
574349.1774985178	0.006608234794091989
639978.9706012268	0.006669234331649542
713108.1559054942	0.006527770567134035
794593.6747596633	0.006498851673334527
885390.3895775104	0.006403186785557595
986562.273093003	0.00632080698687007
1099294.876190009	0.006353595847955381
1224909.220407302	0.006239416954401433
1364877.277913817	0.006199751343567996
1520839.220351358	0.006010679671933803
1694622.638669916	0.005915623806388657
1888263.959177179	0.005930552026483922
2104032.306759465	0.005735134174542481
2344456.09490774	0.005535605991326919
2612352.654135555	0.005364303320320458
2910861.245980229	0.005177375317521415
3243479.849451406	0.004874773855874762
3614106.150997474	0.00475632117389447
4027083.218317823	0.004480900967856053
4487250.393235162	0.004172900956714284
5000000	0.003814751134547423
