#Digilent WaveForms Impedance Analyzer
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 5e+06 Hz
#Steps: 101
#Resistor: 1000 ¦¸
#Average: 1
#ProbeResistance: 1.041e+06 ¦¸
#ProbeCapacitance: 4.5e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.48591 V
#Offset: -0.000257542 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.5047 V
#Offset: -0.000259064 V
#Attenuation: 1 X

Frequency (Hz)	Trace < (deg)	Trace th (deg)	Trace Vin (V)	Trace Vout (V)	Trace Vout/Vin (V)
100	-178.1366433474636	-178.1391195687673	0.09571273947995011	1.155030344488858	12.06767616060988
111.4268106709143	-178.3363897269096	-178.339148901333	0.09681710847466145	1.166880661182458	12.05242213454297
124.1593413629177	-178.5146211937546	-178.5176956538149	0.09773938167450767	1.176823556409681	12.04042358615227
138.3467942307124	-178.6768711849583	-178.680296957748	0.09848185876159268	1.185134887425471	12.03404263819263
154.1554204767356	-178.8447083750114	-178.8485256043707	0.09905409124849202	1.191677084526692	12.03056905077441
171.7704685135639	-178.9628087327429	-178.9670621496724	0.09958885704260573	1.197264041057763	12.02206829771682
191.3983547391513	-179.077804170834	-179.082543617661	0.09998748568672519	1.201739300434671	12.01889708678032
213.269082362439	-179.1726519400169	-179.1779329544567	0.1003468538993425	1.205616022335154	12.01448750495458
237.6389366235905	-179.2797438068754	-179.2856282728328	0.1006501961738198	1.208961309473109	12.01151468582604
264.7934879919427	-179.3533647287115	-179.3599216014472	0.1008508518856775	1.211344936780313	12.01125140869875
295.050938533692	-179.4169505265654	-179.4242566407269	0.1010557098202821	1.213439905145648	12.00763328765524
328.7658506626926	-179.474358185149	-179.4824991551325	0.1011759570266433	1.214943423186212	12.00822269332499
366.3333019685392	-179.5185130403285	-179.527584263524	0.1013291155064945	1.21647769922091	12.00521383355944
408.1935148089927	-179.5833766189743	-179.5934843936495	0.1014189118407503	1.217516770358979	12.00482975276588
454.8370149171666	-179.6249817200581	-179.6362444909803	0.1014976325856595	1.218346091244101	12.00368974336294
506.8103794729898	-179.6331982861816	-179.6457480325743	0.1015977717690235	1.219467495238145	12.00289606754893
564.7226419959104	-179.6788126174833	-179.6927963995819	0.1016410296658789	1.220016850716183	12.00319255645778
629.2524291125679	-179.6946702070801	-179.710251889409	0.1016789100494986	1.22027530273063	12.00126262306101
701.1559128293893	-179.7332681959211	-179.7506303674857	0.1017050527566861	1.220497558179735	12.00036306061992
781.2756714963242	-179.7471355565964	-179.766481670491	0.1017292465260252	1.220740553601176	11.99989772153553
870.550563296124	-179.7335607782323	-179.7551175357359	0.1017717035882026	1.221488950059803	12.00224529012796
970.0267279585497	-179.763325814497	-179.7873458215934	0.1017644099439425	1.221512780654843	12.00333968749703
1080.869845619638	-179.7804734196543	-179.807238147106	0.1018455521739163	1.222326321163199	12.00176438805984
1204.378796477597	-179.7775444815033	-179.8073675631635	0.1017565363743632	1.22146510485011	12.00379993631396
1342.000881311729	-179.8065104010922	-179.8397413091049	0.1018132492868989	1.22198527083129	12.00222249451901
1495.348781221221	-179.7905886415823	-179.8276167815347	0.1017850736852269	1.222004660608142	12.00573538304078
1666.219455321193	-179.7906603284958	-179.8319196025077	0.1018199750613452	1.22252379369293	12.006718651781
1856.615197842686	-179.7813130010603	-179.8272868922779	0.1018942420943646	1.222706044215646	11.99975601254577
2068.767101387591	-179.7642624903609	-179.81548972843	0.1018828252156219	1.222480745614466	11.99888934201857
2305.161201285311	-179.7546444063993	-179.8117252802998	0.1019285265847685	1.223092639518604	11.99951260456436
2568.567607415556	-179.7457782189332	-179.8093816111399	0.1018835208227703	1.223086405621729	12.00475205160339
2862.072964869367	-179.7315145537202	-179.8023857781016	0.1019371654912578	1.223420633130526	12.00171328322295
3189.116623828411	-179.7104021107543	-179.7893716460357	0.1019107675432587	1.223259072697358	12.00323677454509
3553.530942507937	-179.6778202077238	-179.7658134288282	0.1019034365319616	1.222929933075394	12.00087037979163
3959.586195440673	-179.6408293160204	-179.7388773372805	0.1019928289493424	1.224110969839042	12.00193172842603
4412.040613345332	-179.61351661128	-179.7227683685314	0.1020533365470489	1.224902803406419	12.00257477952924
4916.196140956152	-179.5794816626502	-179.7012173757129	0.1020096973083119	1.224729774422847	12.00601321971626
5477.960566194004	-179.5522635003639	-179.6879096735641	0.1019981054137935	1.224814603905985	12.00820935778234
6103.916748720334	-179.4954473563864	-179.6465934927575	0.1020433365596108	1.224435464665697	11.99917119478367
6801.399759106832	-179.4417662860632	-179.6101835108899	0.1020501659064265	1.224713980036882	12.00109739321607
7578.582832551996	-179.3622712507887	-179.5499330624566	0.1022325423044528	1.226559783138626	11.99774314020168
8444.573144366113	-179.2858180395983	-179.4949234305386	0.1022170279924314	1.226797691012346	12.00189161343239
9409.5185295397	-179.2485416603564	-179.4815408785016	0.1022457086844601	1.226695455964669	11.99752509663136
10484.7263969548	-179.1411336764752	-179.400756928387	0.1022702467575654	1.227318792647876	12.00074148209764
11682.79623169819	-179.0814654192993	-179.3707548503255	0.1023122332733246	1.227372896390833	11.9963454723145
13017.76723816306	-178.9427496466782	-179.2650949715163	0.1023318200627737	1.228289688555959	12.00300832920284
