#Digilent WaveForms Impedance Analyzer
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 5e+06 Hz
#Steps: 101
#Resistor: 1000 ¦¸
#Average: 1
#ProbeResistance: 1.041e+06 ¦¸
#ProbeCapacitance: 4.5e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 2 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.48591 V
#Offset: -0.000257542 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.5047 V
#Offset: -0.000259064 V
#Attenuation: 1 X

Frequency (Hz)	Trace < (deg)	Trace th (deg)	Trace Vin (V)	Trace Vout (V)	Trace Vout/Vin (V)
100	-0.03394134760673572	-0.03641756891037636	1.91964123456018	1.849165324052337	0.9632869365175988
111.4268106709143	-0.0342565208848261	-0.03701569530821158	1.940193040701098	1.869032742000923	0.9633230832152347
124.1593413629177	-0.03550629721721928	-0.03858075727747111	1.957296165131974	1.885627038244393	0.9633836063420944
138.3467942307124	-0.03470953711166037	-0.03813530990135571	1.971589887733174	1.899504224187931	0.9634378001258046
154.1554204767356	-0.03480026591044805	-0.03861749526973863	1.983396195930314	1.910985731769099	0.9634916794184679
171.7704685135639	-0.03469671682223569	-0.03895013375176657	1.993120673104624	1.920432322368679	0.96353038141804
191.3983547391513	-0.03362498243155084	-0.03836442925856041	2.00115508110963	1.928259862425664	0.9635734284803426
213.269082362439	-0.03321721894379834	-0.03849823338366896	2.007762369497126	1.934744400745584	0.9636321659072481
237.6389366235905	-0.03167961943015695	-0.03756408538754933	2.013261629072439	1.940078053025809	0.9636492470775659
264.7934879919427	-0.03068249030814979	-0.03723936304391817	2.017708508979129	1.944400015446482	0.9636674508699284
295.050938533692	-0.03029292325469025	-0.03759903741620219	2.021280146896041	1.94797586708676	0.9637337358100265
328.7658506626926	-0.02759397368142628	-0.03573494366491481	2.024366847039057	1.950978901623967	0.9637477043637468
366.3333019685392	-0.02698384797412342	-0.03605507116965301	2.026740591709256	1.953296879382326	0.9637626479543729
408.1935148089927	-0.02453638009849322	-0.03464415477370847	2.028743424885277	1.955269836257949	0.9637836959932563
454.8370149171666	-0.02373586496401725	-0.03499863588618431	2.030293089129754	1.956890210111729	0.9638461661466386
506.8103794729898	-0.02248070097026706	-0.03503044736295688	2.031603335495792	1.958184096509931	0.9638614301802454
564.7226419959104	-0.02062238427315632	-0.03460616637179142	2.032776213736673	1.959334396391604	0.9638711743827089
629.2524291125679	-0.01884122979120425	-0.03442291212013857	2.033686512489319	1.960215929600075	0.9638732014801467
701.1559128293893	-0.01731439448775436	-0.03467656605235196	2.034444842325408	1.96098117332441	0.9638900659911586
781.2756714963242	-0.01460257165554191	-0.03394868555012467	2.034996840070955	1.961490761906892	0.9638790209809367
